district,state,year,name,party_name,incumbent,winner
Ghazipur,Uttar Pradesh,1951,HAR PRASAD,Indian National Congress,0,1
Giridih,Bihar,1957,NAGEHWAR PD. SINHA,Indian National Congress,0,0
"Goa, Daman, and Diu",Delhi,1967,K. A. NARSINV,Indian National Congress,0,0
Goalpara,Assam,1951,SITANATH BRAHMA CHOWDHURY,Indian National Congress,0,0
Godda,Bihar,1962,PRABHUDAYAL HIMMATSINGKA,Indian National Congress,0,1
Golaghat Jorhat,Assam,1951,DEBESWAR SARMA,Indian National Congress,0,1
Gonda,Uttar Pradesh,1951,CHOWDHARI HYDER HUSAIN,Indian National Congress,0,1
Gondia,Maharashtra,1962,BALKRISHNA RAMCHANDRA WASNIK,Indian National Congress,0,1
Gorakhpur,Uttar Pradesh,1951,SINHASAN SINGH,Indian National Congress,0,1
Gulbarga,Karnataka,1951,KRISHNA CHARYA JOSHI,Indian National Congress,0,1
Guna,Madhya Pradesh,1951,GOPI KRISHNA VIJAYVARGIYA,Indian National Congress,0,0
Guntur,Andhra Pradesh,1951,NANDALA ANJANEYULU REDDI,Indian National Congress,0,0
Gurdaspur,Punjab,1951,TEJA SINGH,Indian National Congress,0,1
Gurgaon and Faridabad,Haryana,1951,THAKAR DAS,Indian National Congress,0,1
Gwalior,Madhya Pradesh,1951,VAIDEHI CHARAN PARASHAR,Indian National Congress,0,0
Haora,West Bengal,1951,SATYABAN ROY,Indian National Congress,0,1
Hardoi,Uttar Pradesh,1951,BULAQI RAM,Indian National Congress,0,0
Haridwar,Uttaranchal,1977,SUNDER LAL,Indian National Congress,0,0
Hassan,Karnataka,1957,J. SIDDANANJAPPA H.,Indian National Congress,0,1
Hassan Chickmagalur,Karnataka,1951,H. SIDDANANJAPPA,Indian National Congress,0,1
Hathras,Uttar Pradesh,1962,NAR DEO,Indian National Congress,0,0
Hazaribagh,Bihar,1951,NAGESHWAR PD. SINHA,Indian National Congress,0,1
Hingoli,Maharashtra,1977,DESHMUKH BALAJIRAO GOPALRAO,Indian National Congress,0,0
Hisar,Haryana,1951,ACHINT RAM,Indian National Congress,0,1
Hooghly,West Bengal,1951,RENUKA ROY,Indian National Congress,0,0
Hoshangabad,Madhya Pradesh,1951,SYED AHMAD,Indian National Congress,0,1
Hoshiarpur,Punjab,1951,RAM DAS,Indian National Congress,0,0
Hyderabad,Andhra Pradesh,1951,AHMED MOHIUDDIN,Indian National Congress,0,1
Indore,Madhya Pradesh,1951,NANDLAL SURYA NARAYAN,Indian National Congress,0,1
Inner Manipur,Manipur,1951,JOGESWOR SINGH,Indian National Congress,0,1
Jabalpur,Madhya Pradesh,1951,SUSHIL KUMAR,Indian National Congress,0,1
Jagatsinghpur,Orissa,1977,BASUDEV MOHAPATRA,Indian National Congress,0,0
Jaipur,Rajasthan,1951,RAM KARAN JOSHI,Indian National Congress,0,1
Jajpur,Orissa,1951,MAYADHAR SINHA,Indian National Congress,0,0
Jalandhar,Punjab,1951,AMAR NATH,Indian National Congress,0,1
Jalaun,Uttar Pradesh,1951,C. K. K. GOVINDAN NAYAR,Indian National Congress,0,0
Jalaun Distt Cum Etawah,Uttar Pradesh,1951,LOTAN RAM,Indian National Congress,0,1
Jalgaon,Maharashtra,1951,PATASKAR HARI VINAYAK,Indian National Congress,0,1
Jalna,Maharashtra,1951,HANMANTH RAO GANESHRAO,Indian National Congress,0,1
Jalore,Rajasthan,1957,DAMANI SURAJ RATAN,Indian National Congress,0,1
Jalpaiguri,West Bengal,1962,NALINI RANJAN GHOSH,Indian National Congress,0,1
Jammu,Jammu & Kashmir,1967,I.J. MALHOTRA,Indian National Congress,0,1
Jamnagar,Gujarat,1951,MAJOR GEN. M. S. HIMATSINHJI,Indian National Congress,0,1
Jamui,Bihar,1962,NAYANTARA DAS,Indian National Congress,0,1
Janjgir-Champa,Chhattisgarh,1951,W. S. KIROLIKAR,Indian National Congress,0,1
Jaunpur,Uttar Pradesh,1951,BIRBAL SINGH,Indian National Congress,0,1
Jehanabad,Bihar,1962,SATYABHAMA DEVI,Indian National Congress,0,1
Jhabua,Madhya Pradesh,1951,AMAR SINGH,Indian National Congress,0,1
Jhajjar,Haryana,1957,GHAMANDI LAL BANSAL,Indian National Congress,0,0
Jhajjar Rewari,Punjab,1951,GHAMANDI LAL,Indian National Congress,0,1
Jhalawar,Rajasthan,1962,BRIJ RAJ SINGH,Indian National Congress,0,1
Jhansi,Uttar Pradesh,1951,DHULEKAR RAGHUNATH,Indian National Congress,0,1
Jhunjhunu,Rajasthan,1957,MURARKA RADHEY SHYAM RAM KUMAR,Indian National Congress,0,1
Jodhpur,Rajasthan,1951,NURI MD. YASIN,Indian National Congress,0,0
Jorhat,Assam,1957,AHMED MOFIDA,Indian National Congress,0,1
Junagadh,Bombay,1957,NATHWANI NARENDRA PRAGJI,Indian National Congress,0,1
Jyotiba Phule Nagar,Uttar Pradesh,1957,HIFZUL RAHMAN,Indian National Congress,0,1
Kachchh,Gujarat,1951,KHIMJI BHAWANJI ARJUN,Indian National Congress,0,1
Kaithal,Haryana,1957,MOOL CHAND,Indian National Congress,0,1
Kalahandi,Orissa,1957,JOGESWAR MAJHI,Indian National Congress,0,0
Kalahandi Bolangir,Orissa,1951,UDHISTIR MISRA,Indian National Congress,0,0
Kamrup Metropolitan,Assam,1951,ROHINI KUMAR CHAUDHURY,Indian National Congress,0,1
Kanchipuram,Tamil Nadu,1951,O. V. ALAGESAN,Indian National Congress,0,1
Kandhamal,Orissa,1951,BISWANATH DAS,Indian National Congress,0,0
"Kangra, Hamirpur, and Una",Himachal Pradesh,1951,HEM RAJ,Indian National Congress,0,1
Kanker,Chhattisgarh,1967,S. DEVI,Indian National Congress,0,0
Kannauj,Uttar Pradesh,1967,S.N. MISRA,Indian National Congress,0,0
Kannur,Madras,1951,P. KUNHIRAMAN,Indian National Congress,0,0
Kanpur Nagar,Uttar Pradesh,1951,HARI HAR NATH SHASTRI,Indian National Congress,0,1
Kanyakumari,Madras,1951,GONA SEETHARAMA SWAMY,Indian National Congress,0,0
Karauli,Rajasthan,1962,TIKA RAM,Indian National Congress,0,1
Karimganj,Assam,1962,NIHAR RANJAN LASKAR,Indian National Congress,0,1
Karimnagar,Andhra Pradesh,1951,T. N. SADALAKSHMI,Indian National Congress,0,0
Karnal,Haryana,1951,VIRENDRA KUMAR,Indian National Congress,0,0
Karur,Tamil Nadu,1957,K. PERIASAMI GOUNDER,Indian National Congress,0,1
Kaushambi,Uttar Pradesh,1962,MASURIYA DIN,Indian National Congress,0,1
Kendrapara,Orissa,1951,NITYANANDA KANUNGO,Indian National Congress,0,1
Kendujhar,Orissa,1957,BANSHIDHAR RATHA,Indian National Congress,0,0
Khagaria,Bihar,1957,JIYA LAL MANDAL,Indian National Congress,0,1
Khammam,Andhra Pradesh,1951,GADIUIRM KRISHNA REDDY,Indian National Congress,0,0
Kheda,Gujarat,1951,DABHI FULSINHJEE BHARATSINHJI,Indian National Congress,0,1
Khordha,Orissa,1951,LINGRAJ MISRA,Indian National Congress,0,1
Kishanganj,Bihar,1957,MD. TAHIR,Indian National Congress,0,1
Kodagu,Karnataka,1951,N. SOMANNA,Indian National Congress,0,1
Kokrajhar,Assam,1967,R. BRAHMA,Indian National Congress,0,1
Kolar,Karnataka,1951,DODDATHIMMIAH,Indian National Congress,0,1
Kolhapur,Maharashtra,1951,MORE KRISHNAJI LAXMAN,Indian National Congress,0,0
Kolkata,West Bengal,1951,HIMATSINGKA PRABHU DAYAL,Indian National Congress,0,0
Kollam,Travancore Cochin,1951,KAINIKARA N. PADMANABHA PILLAI,Indian National Congress,0,0
Koppal,Karnataka,1951,MADHAVA RAO ANWARI,Indian National Congress,0,0
Koraput,Orissa,1957,R. JAGANNATH RAO,Indian National Congress,0,1
Kota,Rajasthan,1957,"ONKAR LAL, S/O JAMNA LAL",Indian National Congress,0,0
Kotah Jhalawar,Rajasthan,1951,NEMICHAND KASILWAL,Indian National Congress,0,1
Kottayam,Travancore Cochin,1951,P. T. CHACKO,Indian National Congress,0,1
Kozhikode,Madras,1951,"UMMAR KOYA, PARAPPIL",Indian National Congress,0,0
Krishna,Andhra Pradesh,1951,DUGGIRALA BALARAMAKRISHNIAH,Indian National Congress,0,0
Kurnool,Andhra Pradesh,1951,SURA RAMI REDDY,Indian National Congress,0,0
Kurukshetra,Haryana,1977,DEVDUTT PURI,Indian National Congress,0,0
Kushinagar,Uttar Pradesh,1957,KASHI NATH PANDE,Indian National Congress,0,1
Lakhimpur Kheri,Uttar Pradesh,1957,RAMESHWAR PRASAD,Indian National Congress,0,0
Lakhimpur and Dibrugarh,Assam,1951,"HAZARIKA, JOGENDRA NATH",Indian National Congress,0,1
Lakshadweep,L M And A Islands,1971,SADANATHA MOHAMMED SAYEED,Indian National Congress,0,1
Latur,Maharashtra,1962,TULSIRAM DASHRATH,Indian National Congress,0,1
Leh,Jammu & Kashmir,1967,K. BAKULA,Indian National Congress,0,1
Lucknow,Uttar Pradesh,1951,VIJAI LAXMI PANDIT,Indian National Congress,0,1
Ludhiana,Punjab,1951,MANGAL SINGH,Indian National Congress,0,0
Madhepura,Bihar,1957,JATHAM KHARWAR,Indian National Congress,0,0
Madurai,Tamil Nadu,1951,P. M. KAKKAN,Indian National Congress,0,0
Maharajganj,Uttar Pradesh,1957,HARI SHANKER,Indian National Congress,0,0
Mahasamund,Chhattisgarh,1951,SHEODAS DAGA,Indian National Congress,0,1
Mahbubnagar,Andhra Pradesh,1951,P. RAMASWAMY,Indian National Congress,0,0
Mahendragarh,Haryana,1951,HIRA SINGH,Indian National Congress,0,1
Mahesana,Gujarat,1951,DESAI KHANDUBHAI KASANJI,Indian National Congress,0,0
Mainpuri,Uttar Pradesh,1951,BADSHAH GUPTA,Indian National Congress,0,1
Malappuram,Madras,1951,T. V CHATHUKUTTY NAIR,Indian National Congress,0,0
Maldah,West Bengal,1951,SURENDRA MOHAN GHOSE,Indian National Congress,0,1
Mandi,Himachal Pradesh,1951,GOPI RAM,Indian National Congress,0,0
Mandla,Madhya Pradesh,1951,MANGROO,Indian National Congress,0,0
Mandsaur,Madhya Pradesh,1951,KAILASH NATH KATJU,Indian National Congress,0,1
Mandya,Karnataka,1951,M. K. SIVANANJAPPA,Indian National Congress,0,1
Mathura,Uttar Pradesh,1951,KRISHNA CHANDRA,Indian National Congress,0,1
Mau,Uttar Pradesh,1957,UMRAO SINGH,Indian National Congress,0,1
Mayurbhanj,Orissa,1951,RAMCHANDRA MAJHI,Indian National Congress,0,1
Medak,Andhra Pradesh,1951,SRINIVAS RAO,Indian National Congress,0,0
Medinipur,West Bengal,1951,"SAMANTA, SATISH CHANDRA",Indian National Congress,0,1
Meerut,Uttar Pradesh,1951,SHAH NAWAZ KHAN,Indian National Congress,0,1
Mirzapur,Uttar Pradesh,1951,J. N. WILSON,Indian National Congress,0,0
Mizoram,Mizoram,1977,C. L. RUALA,Indian National Congress,0,0
Moga,Punjab,1962,CHANAN SINGH,Indian National Congress,0,0
Moradabad,Uttar Pradesh,1951,RAM SARAN,Indian National Congress,0,1
Morena,Madhya Pradesh,1967,S. PRASAD,Indian National Congress,0,0
Morena Bhind,Madhya Pradesh,1951,RADHA CHARAN,Indian National Congress,0,1
Mumbai City,Bombay,1951,PATIL SADASHIV KANOJI,Indian National Congress,0,1
Mumbai Suburban,Bombay,1951,RAIJI JAYASHRI NAISHADH,Indian National Congress,0,1
Munger,Bihar,1951,RAJENDRA PRASAD YADAV,Indian National Congress,0,0
Murshidabad,West Bengal,1951,MUHAMMED KHUDA BUKHSH,Indian National Congress,0,1
Muzaffarnagar,Uttar Pradesh,1951,TRIPATHI HIRA BALLABH,Indian National Congress,0,1
"Muzaffarpur, Sitamhari, and Vaishali",Bihar,1951,DIG VIJOY NARAYAN SINGH,Indian National Congress,0,1
Mysore,Karnataka,1951,N. RACHIAH,Indian National Congress,0,1
Nabarangpur,Orissa,1951,JAGDISH CHANDRA NAYAK,Indian National Congress,0,0
Nadia,West Bengal,1951,LAKSHMI KANTA MAITRA,Indian National Congress,0,1
Nagaland,Nagaland,1977,HOKISHE SEMA,Indian National Congress,0,0
Nagaon,Assam,1951,"BAROOAH, DEV KANTA",Indian National Congress,0,1
Nagapattinam,Tamil Nadu,1951,K. SANTHANAM,Indian National Congress,0,0
Nagaur,Rajasthan,1957,MATHURA DASS,Indian National Congress,0,1
Nagaur Pali,Rajasthan,1951,PITTIE GOVINGLAL,Indian National Congress,0,0
Nagpur,Maharashtra,1951,ANUSAYABAI PURUSHOTTAM KALE,Indian National Congress,0,1
Naini Tal Distt Cum Almora,Uttar Pradesh,1951,C. D. PANDE,Indian National Congress,0,1
Nainital,Uttaranchal,1957,C. D. PANDE,Indian National Congress,0,1
Nalgonda,Andhra Pradesh,1951,P. MAHENDRANATH,Indian National Congress,0,0
Namakkal,Tamil Nadu,1951,DR. P. SUBBAROYAN,Indian National Congress,0,0
Nanded,Maharashtra,1951,SHANKER RAO SRINIVAS RAO,Indian National Congress,0,1
Nandurbar,Maharashtra,1962,LAXMAN VEDU VALVI,Indian National Congress,0,1
Nashik,Maharashtra,1951,DESHPANDE GOVIND HARI,Indian National Congress,0,1
Nawanshahr,Punjab,1951,BALDEV SINGH,Indian National Congress,0,1
Nellore,Andhra Pradesh,1951,VENNALAKURTHI RAGHAVAIAH,Indian National Congress,0,0
New Delhi,Delhi,1951,RADHA RAMAN,Indian National Congress,0,1
Nilgiris,Tamil Nadu,1957,C. NANJAPPAN,Indian National Congress,0,1
Nimar,Madhya Pradesh,1951,TIWARI BABULAL SURAJBHAN,Indian National Congress,0,1
Nizamabad,Andhra Pradesh,1951,HARISH CHANDRA HEDA,Indian National Congress,0,1
North Arcot,Madras,1951,RAMACHANDRA REDDY,Indian National Congress,0,0
North Bengal,West Bengal,1951,BIRENDRA NATH KATHAM,Indian National Congress,0,0
Osmanabad,Maharashtra,1951,DIWAN RAGHEVENDRA SRINIVAS RAO,Indian National Congress,0,1
Outer Manipur,Manipur,1951,KAMPU,Indian National Congress,0,0
Palamu,Bihar,1951,GAJENDRA PRASAD SINHA,Indian National Congress,0,0
Pali,Rajasthan,1957,HARISH CHANDRA MATHUR,Indian National Congress,0,1
Panchmahal,Gujarat,1951,PARMAR RUPAJEE BHAVJI,Indian National Congress,0,0
Parbhani,Maharashtra,1951,RAMCHANDER RAO NANDAPURKAR,Indian National Congress,0,0
Parganas,West Bengal,1951,PROSAD MAHABIR,Indian National Congress,0,0
Patan,Gujarat,1957,TRIVEDI VIJAYKUMAR MADHAVLAL,Indian National Congress,0,0
Pathanamthitta,Travancore Cochin,1951,MATHEN C. P.,Indian National Congress,0,1
Patiala,Punjab,1951,RAM PARTAP,Indian National Congress,0,1
Patna and Nalanda,Bihar,1951,SARANGDHAR SINGH,Indian National Congress,0,1
Perambalur,Tamil Nadu,1951,R. KRISHNASWAMI REDDIAR,Indian National Congress,0,0
Pilibhit,Uttar Pradesh,1957,MUKAND LAL AGARWAL,Indian National Congress,0,0
Pilibhit Distt Cum Bareilly,Uttar Pradesh,1951,MUKUND LAL AGARWALA,Indian National Congress,0,1
Pondicherry,Pondicherry,1967,N. SETHURAMAN,Indian National Congress,0,1
Porbandar,Gujarat,1977,DHAMI RAMNIKLAL KABABHAI,Indian National Congress,0,0
Prakasam,Andhra Pradesh,1951,V. C. KESAVA RAO,Indian National Congress,0,0
Pratapgarh,Uttar Pradesh,1951,MUNISHWAR DUTT UPADHYAYA,Indian National Congress,0,1
Pudukkottai,Tamil Nadu,1951,V. RAMAIAH SERVAI,Indian National Congress,0,0
Pune,Maharashtra,1951,GADGIL NARHAR VISHNU,Indian National Congress,0,1
Puri,Orissa,1951,LOKANATH MISRA,Indian National Congress,0,1
Purnia and Katihar,Bihar,1951,BHAGAT JHA (AZAD),Indian National Congress,0,1
Purulia,West Bengal,1951,M. JOHN,Indian National Congress,0,0
Raebareli,Uttar Pradesh,1957,BAIJ NATH KUREEL,Indian National Congress,0,0
Raichur,Karnataka,1957,G. S. MELKOTE,Indian National Congress,0,1
Raigad,Bombay,1951,DESHMUKH CHINTAMAN DWARKANATH,Indian National Congress,0,1
Raigarh,Chhattisgarh,1962,CHANDRACHUD PRASAD SINGH DEO,Indian National Congress,0,0
Raipur,Chhattisgarh,1957,MINIMATA,Indian National Congress,0,1
Raisen,Madhya Pradesh,1951,CHATRUNARAIN MALVIA,Indian National Congress,0,1
Rajgarh,Madhya Pradesh,1962,LILADHAR JOSHI,Indian National Congress,0,0
Rajkot,Gujarat,1951,JOSHI JETHALAL HARIKRISHNA,Indian National Congress,0,1
Rajnandgaon,Chhattisgarh,1962,BIRENDRA BAHADUR SINGH,Indian National Congress,0,1
Ramanathapuram,Tamil Nadu,1951,V. VR. N. AR. NAGAPPA CHETTIAR,Indian National Congress,0,1
Rampur,Uttar Pradesh,1951,ABUL KALAM AZAD,Indian National Congress,0,1
Ranchi,Bihar,1951,ABDUL IBRAHIM,Indian National Congress,0,1
Ranga Reddy,Andhra Pradesh,1951,EBENEZER S. A.,Indian National Congress,0,1
Ratnagiri,Bombay,1951,JOSHI MORESHWAR DINKAR,Indian National Congress,0,1
Rayagada Phulbani,Orissa,1951,T. SANGANA,Indian National Congress,0,1
Rewa,Madhya Pradesh,1951,RAJBHAN SINGH,Indian National Congress,0,1
Rohtak,Haryana,1951,RANBIR SINGH,Indian National Congress,0,1
Rupnagar,Punjab,1967,B. SINGH,Indian National Congress,0,1
Sabarkantha,Gujarat,1951,NANDA GULZARILAL BULAQIRAM,Indian National Congress,0,1
Sagar,Madhya Pradesh,1951,SODHIA KHUBCHAND DARYAO SINGH,Indian National Congress,0,1
Saharanpur,Uttar Pradesh,1951,SUNDER LAL,Indian National Congress,0,1
Saharsa,Bihar,1957,BHOLI SARDAR,Indian National Congress,0,0
Sahibganj,Bihar,1957,PAIKA MURMU,Indian National Congress,0,1
Salem,Tamil Nadu,1951,S. V. RAMASWAMI,Indian National Congress,0,1
Sambalpur,Orissa,1951,GAURI SANKAR MISRA,Indian National Congress,0,0
Sangli,Maharashtra,1957,PAGE VITHAL SAKHARAM,Indian National Congress,0,0
Sangrur,Punjab,1951,BHAGWAN SINGH,Indian National Congress,0,0
Sant Kabir Nagar,Uttar Pradesh,1967,K. SHANKER,Indian National Congress,0,0
Saran,Bihar,1957,LEELA DEVI VERMA,Indian National Congress,0,0
"Saran, Siwan, and Gopalganj",Bihar,1951,BHOLA RAUT,Indian National Congress,0,0
Satara,Maharashtra,1951,ALTEKAR GANESH SADASHIV,Indian National Congress,0,1
Satna,Madhya Pradesh,1951,UPADHIYA S. D.,Indian National Congress,0,1
Sawai Madhopur,Rajasthan,1957,JAGAN NATH,Indian National Congress,0,0
Sehore and Bhopal,Madhya Pradesh,1951,SAEED ULLAH RAZMI,Indian National Congress,0,1
Seoni,Madhya Pradesh,1962,NARAYANRAO MANIRAM WADIWA,Indian National Congress,0,1
Shahdol,Madhya Pradesh,1957,ANAND CHANDRA JOSHI,Indian National Congress,0,1
Shahjahanpur,Uttar Pradesh,1951,GANESHI LAL CHOWDHRY,Indian National Congress,0,0
Shajapur,Madhya Pradesh,1957,KANHAIYALAL,Indian National Congress,0,0
Shajapur Rajgarh,Madhya Pradesh,1951,BHAGU NANDU,Indian National Congress,0,0
Sheohar,Bihar,1977,HARI KISHORE SINGH,Indian National Congress,0,0
Shimla,Himachal Pradesh,1967,P. SINGH,Indian National Congress,0,1
Shimoga,Karnataka,1951,K. G. WODEYAR,Indian National Congress,0,1
Shivpuri,Madhya Pradesh,1957,PANDVIYA SHAYAMLAL,Indian National Congress,0,0
Sibsagar,Assam,1951,"BURAGOHAIN, SURENDRANATH",Indian National Congress,0,1
Siddharthnagar,Uttar Pradesh,1957,RAM SHANKER LAL,Indian National Congress,0,1
Sidhi,Madhya Pradesh,1962,ANAND CHANDRA,Indian National Congress,0,1
Sikar,Rajasthan,1951,BAJAI KAMAL NAYAN JAMNA LAL,Indian National Congress,0,0
Sikkim,Sikkim,1977,CHATRA BAHADUR CHHETRI,Indian National Congress,0,1
Singhbhum,Bihar,1962,LAKHO BODRA,Indian National Congress,0,0
Sirmaur,Himachal Pradesh,1962,PARTAP SINGH,Indian National Congress,0,1
Sirohi Pali,Rajasthan,1951,GOKAL BHAI BHUTT,Indian National Congress,0,0
Sirsa,Punjab,1951,ATMA SINGH,Indian National Congress,0,1
Sitamarhi,Bihar,1957,DIGVIJAYA NARAIN SINGH,Indian National Congress,0,1
Sitapur,Uttar Pradesh,1957,UMA NEHRU,Indian National Congress,0,0
Sitapur Distt Cum Kheri,Uttar Pradesh,1951,UMA NEHRU,Indian National Congress,0,0
Sivaganga,Tamil Nadu,1967,SUBRAMANIAN,Indian National Congress,0,0
Solapur,Maharashtra,1951,SONAVANE TAYAPPA HARI,Indian National Congress,0,0
Sonbhadhra,Uttar Pradesh,1962,RAM SARUP,Indian National Congress,0,1
Sonipat,Haryana,1977,SUBHASHNI,Indian National Congress,0,0
Sonitpur,Assam,1967,B. C. BHAGAVATI,Indian National Congress,0,1
Srikakulam,Andhra Pradesh,1951,PASUPATI LAKSHMI NARSINHA RAJU,Indian National Congress,0,0
Srinagar,Jammu & Kashmir,1967,A.M. TARIQ,Indian National Congress,0,0
Sultanpur,Uttar Pradesh,1951,M. A. KAZMI,Indian National Congress,0,1
Sundargarh,Orissa,1951,SIBNARAYAN SINGH,Indian National Congress,0,1
Surat and Valsad,Gujarat,1951,PATEL BAHADURBHAI KUTHABHAI,Indian National Congress,0,0
Surendranagar,Gujarat,1951,PARIKH RASIKLAL UMEDCHAND,Indian National Congress,0,1
Surguja,Chhattisgarh,1957,SINGH BABUNATH,Indian National Congress,0,0
Surguja Raigarh,Madhya Pradesh,1951,BABUNATH SINGH,Indian National Congress,0,1
Tehri Garhwal,Uttaranchal,1951,BHAKTADARSHAN,Indian National Congress,0,1
Thane,Bombay,1951,NANDKAR ANANT SAVALARAM,Indian National Congress,0,1
Thanjavur,Tamil Nadu,1951,R. VENKATARAMAN,Indian National Congress,0,1
Theni,Tamil Nadu,1951,A/ SAKTHIVADIVEL GOUNDER,Indian National Congress,0,1
Thiruvallur,Tamil Nadu,1951,P. NATESAN,Indian National Congress,0,0
Thiruvananthapuram,Travancore Cochin,1951,T. K. NARAYANA PILLAI,Indian National Congress,0,0
Thiruvannamalai,Tamil Nadu,1957,G. NEELAKANTAN,Indian National Congress,0,0
Thoothukudi,Tamil Nadu,1951,A. V. THOMAS,Indian National Congress,0,1
Thrissur,Travancore Cochin,1951,IYYUNNI CHALAKKA,Indian National Congress,0,1
Tikamgarh,Madhya Pradesh,1962,RILLI,Indian National Congress,0,0
Tiruchirappalli,Tamil Nadu,1951,N. HALASYAM,Indian National Congress,0,0
Tirunelveli,Tamil Nadu,1951,THANU PILLAI,Indian National Congress,0,1
Tirupur,Tamil Nadu,1951,T. S. AVINASHILINGAM CHETTIAR,Indian National Congress,0,1
Tonk,Rajasthan,1951,PANNA LAL KAUSHIK,Indian National Congress,0,1
Tripura,Tripura,1957,SINGH UMESH LAL,Indian National Congress,0,0
Tripura,Tripura,1951,SACHINDRA LAL SINGH,Indian National Congress,0,0
Tripura,Tripura,1951,SUKUMAR CHAKRABORTY,Indian National Congress,0,0
Tumkur,Karnataka,1951,C. R. BASAPPA,Indian National Congress,0,1
Udaipur,Rajasthan,1951,BALWANT SINGH,Indian National Congress,0,1
Udhampur,Jammu & Kashmir,1967,G.S. BRIGADIER,Indian National Congress,0,1
Udupi,Karnataka,1957,SRINIVASA MALLIAH U,Indian National Congress,0,1
Ujjain,Madhya Pradesh,1951,RADHELAL VYAS,Indian National Congress,0,1
Unnao,Uttar Pradesh,1957,GANGA DEVI,Indian National Congress,0,0
Unnao,Uttar Pradesh,1951,VISHAMABHER DAYA L,Indian National Congress,0,1
Vadodara,Gujarat,1957,GAEKWAR FATEHSINHRAO PRATAPSINHRAO,Indian National Congress,0,1
Varanasi,Uttar Pradesh,1951,RAGHUNATH SINGH,Indian National Congress,0,1
Vidisha,Madhya Pradesh,1967,R. PANDEY,Indian National Congress,0,0
Viluppuram,Tamil Nadu,1951,V. I. MUNISWAMI PILLAI,Indian National Congress,0,0
Virudhunagar,Tamil Nadu,1951,K. KAMARAJ NADAR,Indian National Congress,0,1
Visakhapatnam,Andhra Pradesh,1951,K. SUBBARAJU,Indian National Congress,0,0
Vizianagaram,Andhra Pradesh,1951,PASUMARIHI VEERABHADRASWAMI,Indian National Congress,0,0
Warangal,Andhra Pradesh,1951,KOLOJI NARAYAN RAO,Indian National Congress,0,0
Wardha,Maharashtra,1951,SHRIMANNARAYAN DHARAMNARAYAN AGARWAL,Indian National Congress,0,1
Washim,Maharashtra,1977,NAIK VASANTRAO PHULSING,Indian National Congress,0,1
West Dinajpur,West Bengal,1951,SUSIL RANJAN CHATTOPADHYAY,Indian National Congress,0,1
West Garo Hills,Meghalaya,1977,PURNA A. SANGMA,Indian National Congress,0,1
West Godavari,Andhra Pradesh,1951,C. AMMANARAJA,Indian National Congress,0,0
West Nimar,Madhya Pradesh,1962,KANHAIYALAL KHADIWALA,Indian National Congress,0,0
Yavatmal,Maharashtra,1951,SAHADEO ARJUN BHARATI,Indian National Congress,0,1
Adilabad,Andhra Pradesh,1980,G. NARASIMHA REDDY,INDIAN NATIOANL CONGRESS (I),0,1
Agra,Uttar Pradesh,1980,KAMLA BAHUGUNA,INDIAN NATIOANL CONGRESS (I),0,0
Ahmedabad,Gujarat,1980,MAGANBHAI BAROT,INDIAN NATIOANL CONGRESS (I),0,1
Ahmednagar,Maharashtra,1980,VIKHE EKNATHRAO VITHALRAO,INDIAN NATIOANL CONGRESS (I),1,1
Ajmer,Rajasthan,1980,ACHARYA BHAGWAN DEV,INDIAN NATIOANL CONGRESS (I),0,1
Akola,Maharashtra,1980,VAIRALE MADHUSUDAN ATMARAM,INDIAN NATIOANL CONGRESS (I),0,1
Aligarh,Uttar Pradesh,1980,GHAN SHYAM SINGH,INDIAN NATIOANL CONGRESS (I),0,0
Allahabad,Uttar Pradesh,1980,VISHWA NATH PRATAP SINGH,INDIAN NATIOANL CONGRESS (I),0,1
Almora,Uttaranchal,1980,HARISH CHANDRA SINGH,INDIAN NATIOANL CONGRESS (I),0,1
Alwar,Rajasthan,1980,RAM SINGH YADAV,INDIAN NATIOANL CONGRESS (I),0,1
Ambala,Haryana,1980,SOM NATH,INDIAN NATIOANL CONGRESS (I),0,0
Ambedkar Nagar,Uttar Pradesh,1980,RAMJI RAM,INDIAN NATIOANL CONGRESS (I),0,0
Amravati,Maharashtra,1980,USHA PRAKASH CHOUDHARI,INDIAN NATIOANL CONGRESS (I),0,1
Amreli,Gujarat,1980,RAVANI NAVINCHANDRA PARMANANDDAS,INDIAN NATIOANL CONGRESS (I),0,1
Amritsar,Punjab,1980,GURDIAL SINGH DHILLON,INDIAN NATIOANL CONGRESS (I),0,0
Anand,Gujarat,1980,ISHVARBHAI KHODABHAI CHAVDA,INDIAN NATIOANL CONGRESS (I),0,1
Anantapur,Andhra Pradesh,1980,DARUR PULLAIAH,INDIAN NATIOANL CONGRESS (I),1,1
Araria,Bihar,1980,DUMAR LAL BAITHA,INDIAN NATIOANL CONGRESS (I),0,1
Arunachal East,Arunachal Pradesh,1980,SOBENG TAYENG,INDIAN NATIOANL CONGRESS (I),0,1
Arunachal West,Arunachal Pradesh,1980,PREM KHANDU THUNGON,INDIAN NATIOANL CONGRESS (I),0,1
Azamgarh,Uttar Pradesh,1980,ZAFARUDDIN KHAN FAIZAN,INDIAN NATIOANL CONGRESS (I),0,0
Bagalkot,Karnataka,1980,VEERENDRA PATIL,INDIAN NATIOANL CONGRESS (I),0,1
